Spur	Frequency (Hz)	Power(dBc)

0	49.99154	-78.5
1	75.92682	-99.4
2	145.2637	-98.1
3	210.1808	-84.6
4	420.4767	-87.2
5	630.6082	-92.7
6	840.9380	-109.2
7	1050.637	-99.4
8	1261.877	-96.7
9	1471.303	-99.0
10	1892.021	-106.1
11	2101.793	-101.5
12	2312.740	-102.3
13	2522.095	-108.7
14	2942.641	-104.9
15	3153.846	-104.6
16	3363.326	-109.3
17	3784.065	-107.7
18	3993.776	-106.5
19	4204.764	-109.9
20	4625.377	-110.4
21	4834.694	-108.3
22	5045.806	-110.4
23	5676.099	-109.8
24	5885.694	-111.0
25	6517.380	-111.2
26	6726.699	-111.9
27	7357.706	-111.5
28	7568.140	-112.6
29	8409.377	-113.4
30	488593.8	-106.0
31	499839.2	-103.2

