Spur	Frequency (Hz)	Power(dBc)

0	50.00201	-74.3
1	75.80540	-86.0
2	150.0142	-87.5
3	210.1660	-84.6
4	420.4632	-87.2
5	630.5834	-92.7
6	840.8965	-109.2
7	1050.591	-99.4
8	1261.800	-96.7
9	1471.257	-99.0
10	1891.973	-106.1
11	2101.663	-101.4
12	2312.671	-102.3
13	2521.975	-108.7
14	2942.551	-104.8
15	3153.662	-104.7
16	3363.233	-109.4
17	3783.949	-107.7
18	3993.494	-106.5
19	4204.620	-109.9
20	4625.184	-110.2
21	4834.517	-108.2
22	5045.494	-110.5
23	5675.924	-109.7
24	5885.365	-111.1
25	6517.095	-111.2
26	6726.483	-111.9
27	7357.004	-112.6
28	7567.891	-112.7
29	8197.766	-114.1
30	8408.967	-113.4

