Spur	Frequency (Hz)	Power(dBc)

0	50.00656	-75.1
1	75.43945	-87.6
2	149.9968	-89.1
3	210.1664	-84.6
4	420.4635	-87.2
5	630.5840	-92.7
6	840.8975	-109.3
7	1050.594	-99.4
8	1261.801	-96.7
9	1471.257	-99.0
10	1891.972	-106.1
11	2101.670	-101.4
12	2312.672	-102.3
13	2521.981	-108.7
14	2942.551	-104.8
15	3153.663	-104.7
16	3363.233	-109.4
17	3783.955	-107.7
18	3993.495	-106.5
19	4204.629	-109.9
20	4625.187	-110.2
21	4834.525	-108.2
22	5045.521	-110.5
23	5675.925	-109.7
24	5885.385	-111.1
25	6517.096	-111.2
26	6726.493	-111.9
27	7357.035	-112.6
28	7567.892	-112.7
29	8197.779	-114.1
30	8408.979	-113.4

