Spur	Frequency (Hz)	Power(dBc)

0	49.98392	-82.5
1	75.63586	-98.6
2	145.8740	-97.9
3	210.1767	-84.6
4	295.2384	-107.3
5	420.4732	-87.3
6	630.6013	-92.8
7	840.9282	-109.0
8	1050.622	-99.5
9	1261.861	-96.7
10	1471.295	-99.0
11	1892.019	-106.2
12	2101.788	-101.5
13	2312.716	-102.3
14	2522.082	-108.6
15	2942.631	-104.9
16	3153.815	-104.6
17	3363.304	-109.2
18	3784.033	-107.7
19	3993.657	-106.6
20	4204.745	-109.8
21	4625.319	-110.4
22	4834.615	-108.2
23	5045.750	-110.4
24	5676.044	-109.9
25	5885.585	-111.1
26	6517.334	-111.2
27	6726.604	-111.9
28	7357.466	-111.5
29	7568.053	-112.6
30	8409.266	-113.5

