Spur	Frequency (Hz)	Power(dBc)

0	0.028533	17.0
1	49.99538	-91.0
2	140.4019	-103.1
3	216.6754	-83.8
4	433.3509	-86.3
5	650.0265	-91.9
6	866.7020	-108.2
7	1083.387	-98.7
8	1300.051	-95.9
9	1516.742	-98.3
10	1733.398	-107.6
11	1950.090	-105.6
12	2166.754	-100.7
13	2383.454	-101.6
14	2600.112	-108.0
15	3033.458	-104.0
16	3250.164	-103.9
17	3466.798	-108.5
18	3900.150	-106.8
19	4116.866	-105.8
20	4333.507	-109.0
21	4766.859	-109.5
22	4983.581	-107.4
23	5200.214	-109.5
24	5633.555	-111.7
25	5850.316	-108.9
26	6066.914	-110.1
27	6716.995	-110.2
28	6933.604	-110.8
29	7800.326	-111.5
30	8667.025	-112.2
31	19479.90	-108.8

