Spur	Frequency (Hz)	Power(dBc)

0	50.00794	-75.7
1	75.92773	-93.6
2	149.9401	-93.9
3	210.1672	-84.6
4	420.4642	-87.2
5	630.5853	-92.7
6	840.8998	-109.3
7	1050.594	-99.4
8	1261.803	-96.7
9	1471.258	-99.0
10	1891.974	-106.1
11	2101.671	-101.4
12	2312.673	-102.3
13	2522.003	-108.8
14	2942.559	-104.8
15	3153.684	-104.7
16	3363.246	-109.4
17	3783.963	-107.7
18	3993.522	-106.5
19	4204.632	-110.0
20	4625.194	-110.2
21	4834.538	-108.2
22	5045.538	-110.5
23	5675.930	-109.7
24	5885.406	-111.1
25	6517.104	-111.2
26	6726.494	-111.9
27	7357.060	-111.7
28	7567.901	-112.7
29	8197.812	-114.1
30	8409.018	-113.4
31	38269.04	-113.8

