Spur	Frequency (Hz)	Power(dBc)

0	50.00164	-73.3
1	75.43945	-93.8
2	149.8842	-94.4
3	210.1715	-84.6
4	295.4060	-105.4
5	420.4683	-87.3
6	630.5924	-92.8
7	840.9133	-109.1
8	1050.607	-99.5
9	1261.829	-96.7
10	1471.279	-99.0
11	1892.000	-106.2
12	2101.722	-101.5
13	2312.696	-102.3
14	2522.024	-108.7
15	2942.588	-104.8
16	3153.742	-104.7
17	3363.285	-109.2
18	3783.989	-107.7
19	3993.577	-106.5
20	4204.688	-109.9
21	4625.263	-110.4
22	4834.584	-108.2
23	5045.606	-110.4
24	5675.981	-109.7
25	5885.482	-111.0
26	6517.201	-111.2
27	6726.548	-111.8
28	7357.231	-111.7
29	7567.973	-112.6
30	8197.899	-114.2
31	8409.139	-113.4
32	19775.39	-111.3
33	38269.04	-113.7

